rep,N,var_mc,cvar_mc,var_is,cvar_is
0,30000,14732313.816598192,16535601.482551191,14865822.134757787,16640914.885776268
1,30000,14912897.167928763,16579278.272408182,14797840.652798727,16564035.548798183
2,30000,14781138.027369872,16644561.884610243,14854532.648330525,16496886.307451501
3,30000,14864608.374767348,16647087.274046695,14817791.076368406,16538052.2441515
4,30000,14733131.407505639,16413742.457936093,14859470.941712022,16556844.684277656
5,30000,15005225.847426958,16900956.401936628,14612542.609369248,16378843.16812346
6,30000,14711357.083346307,16376729.52747586,14886137.75226961,16638196.089556128
7,30000,14776211.608448967,16447107.5923839,14786290.210871778,16568017.444176279
8,30000,15065037.372324087,16760700.936657468,14814052.097472519,16580895.056159334
9,30000,14763688.936028726,16408418.635829704,14825901.307209767,16598820.691853235
10,30000,14922316.585068457,16509753.792927774,14687317.467047706,16442745.391790591
11,30000,14842794.609111309,16718352.768885296,14775006.617221318,16512990.58157066
12,30000,14887658.177911922,16634451.205070334,14796481.413343899,16491159.706478313
13,30000,14785641.892250083,16674800.33262043,14854354.284347892,16622330.068251444
14,30000,14691790.149928734,16567147.499512931,14907551.594067559,16655491.320871362
15,30000,14655924.867343917,16487191.815796645,14887320.607543983,16644000.717924725
16,30000,15061258.020990543,16740710.044019993,14821016.39679978,16538344.967050554
17,30000,14998297.044953734,16716261.219879255,14845576.203677751,16538435.646226669
18,30000,14904594.697153702,16685731.027007023,14846375.874699228,16555599.38301139
19,30000,14854121.615672328,16666174.664012186,14894499.177280307,16637594.016911399
20,30000,14893222.194152161,16514400.925366841,14815003.068268128,16515694.19218898
21,30000,14748500.511388108,16474831.50663494,14822945.59968736,16534670.034376996
22,30000,14897989.913771026,16720832.789282871,14793929.41285313,16493574.252952928
23,30000,14697396.62758644,16544602.412567418,14909679.75352738,16592402.873535505
24,30000,14919762.190583885,16644517.80566654,14772142.645727769,16537523.565355577
25,30000,14802987.805550337,16579943.903355911,14849313.838110037,16535448.170985373
26,30000,14946326.387957826,16787723.71964732,14808323.512267135,16557032.374319248
27,30000,14926238.16159442,16642620.552957915,14852707.046437249,16613810.986790707
28,30000,14981813.776443161,16855152.70235149,14819204.580959052,16528739.795009142
29,30000,14739442.58714024,16469459.71681873,14784641.767121203,16562445.991619667
