rep,N,var_mc,cvar_mc,var_is,cvar_is
0,10000,14653936.655175008,16306271.221883474,14985155.744185336,16710445.562540388
1,10000,14297555.437973753,16174206.765385693,14788072.067269795,16584573.235200455
2,10000,14841216.60486944,16696317.553757135,14791317.838066265,16432186.619762793
3,10000,15179546.765406072,16799311.704239838,14802689.061980449,16599481.295985425
4,10000,14884362.329806842,16599119.942341873,14935330.066203311,16646736.431754736
5,10000,14211059.453842111,15765800.69906941,14996938.587225989,16685395.649364034
6,10000,14577984.869580433,16597622.01938443,14729496.866878584,16432353.578790285
7,10000,15129064.315471843,17055277.69921165,14824972.433249049,16530182.792705473
8,10000,14807699.176689237,16630179.462077398,15076904.203266807,16678317.030885467
9,10000,14909141.587416016,16666479.47363557,14882287.725275792,16535112.364084566
10,10000,14442369.256453715,16458167.323069414,14941569.731840894,16745751.040072797
11,10000,14827545.234118909,16068749.86169739,14922555.259464003,16820067.45517205
12,10000,14776842.164446086,16824798.018654503,14723183.46838209,16352409.046239631
13,10000,14741583.405645564,16477851.597223593,14789830.939614564,16532197.51149774
14,10000,15104334.278700069,16822779.43013452,14920077.647830844,16642125.828211354
